sample,sample_type,dilution
1921,unk,NA
1922,unk,NA
1924,unk,NA
1928,unk,NA
1929,unk,NA
193,unk,NA
1931,unk,NA
1932,unk,NA
1933,unk,NA
1934,unk,NA
1935,unk,NA
1936,unk,NA
1937,unk,NA
1938,unk,NA
1939,unk,NA
194,unk,NA
1940,unk,NA
1941,unk,NA
1942,unk,NA
1943,unk,NA
1944,unk,NA
1945,unk,NA
1946,unk,NA
1947,unk,NA
1948,unk,NA
1949,unk,NA
1950,unk,NA
1951,unk,NA
1952,unk,NA
1953,unk,NA
1954,unk,NA
1955,unk,NA
1956,unk,NA
1957,unk,NA
1958,unk,NA
1959,unk,NA
1960,unk,NA
1961,unk,NA
1962,unk,NA
1963,unk,NA
1964,unk,NA
1965,unk,NA
1966,unk,NA
1967,unk,NA
1968,unk,NA
2015,unk,NA
2016,unk,NA
2017,unk,NA
2021,unk,NA
2022,unk,NA
2025,unk,NA
2067,unk,NA
2068,unk,NA
2069,unk,NA
2070,unk,NA
2071,unk,NA
2084,unk,NA
2085,unk,NA
2086,unk,NA
2087,unk,NA
2088,unk,NA
2089,unk,NA
2090,unk,NA
2091,unk,NA
2092,unk,NA
2093,unk,NA
2098,unk,NA
2099,unk,NA
2100,unk,NA
2101,unk,NA
2102,unk,NA
2103,unk,NA
2104,unk,NA
2105,unk,NA
2106,unk,NA
2107,unk,NA
2108,unk,NA
2110,unk,NA
2112,unk,NA
2114,unk,NA
2115,unk,NA
2116,unk,NA
2118,unk,NA
2119,unk,NA
2121,unk,NA
2122,unk,NA
2159,unk,NA
2160,unk,NA
2161,unk,NA
2162,unk,NA
2163,unk,NA
2164,unk,NA
2165,unk,NA
2166,unk,NA
2167,unk,NA
2168,unk,NA
2169,unk,NA
2170,unk,NA
2171,unk,NA
2172,unk,NA
2253,unk,NA
2257,unk,NA
2530,unk,NA
2659,unk,NA
266,unk,NA
2660,unk,NA
2661,unk,NA
2666,unk,NA
267,unk,NA
2704,unk,NA
2705,unk,NA
2706,unk,NA
2709,unk,NA
2710,unk,NA
2711,unk,NA
2712,unk,NA
2713,unk,NA
2714,unk,NA
2715,unk,NA
2718,unk,NA
2719,unk,NA
2738,unk,NA
2742,unk,NA
2743,unk,NA
2745,unk,NA
2746,unk,NA
2748,unk,NA
2752,unk,NA
2753,unk,NA
2754,unk,NA
2755,unk,NA
2756,unk,NA
2757,unk,NA
2758,unk,NA
2759,unk,NA
2760,unk,NA
2761,unk,NA
2762,unk,NA
2763,unk,NA
2764,unk,NA
2765,unk,NA
2768,unk,NA
2769,unk,NA
2770,unk,NA
2771,unk,NA
2772,unk,NA
2774,unk,NA
2775,unk,NA
2776,unk,NA
2777,unk,NA
2778,unk,NA
2780,unk,NA
2781,unk,NA
2782,unk,NA
2783,unk,NA
2784,unk,NA
2785,unk,NA
2786,unk,NA
2788,unk,NA
2793,unk,NA
2794,unk,NA
2795,unk,NA
2796,unk,NA
315,unk,NA
318,unk,NA
320,unk,NA
321,unk,NA
323,unk,NA
330,unk,NA
332,unk,NA
334,unk,NA
338,unk,NA
346,unk,NA
520,unk,NA
764,unk,NA
769,unk,NA
772,unk,NA
824,unk,NA
827,unk,NA
939,unk,NA
STD_15,std,15
STD_150,std,150
STD_1500,std,1500
STD_15000,std,15000
STD_150000,std,150000
water,ntc,Inf
